year,month_number,produccion,importaciones,exportaciones_totales,consumo_nacional_aparente,inventario_inicial,inventario_final,oferta_total,demanda_total,net_exports,supply_demand_ratio,demand_pressure,excess_supply,inventory_to_consumption,inventory_months,production_share
2008,10,0.0,667,95127,402187,1864446,1367800,1865113,497314,94460.0,3.750373003776286,0.26664014459177543,1367799.0,3.4009055489113273,40.81086658693592,0.0
2008,11,63468.0,652,120752,378591,1367800,932577,1431920,499343,120100.0,2.8676080369605663,0.3487226940052517,932577.0,2.4632835962820034,29.559403155384043,0.044323705234929324
2008,12,540159.0,712,80482,378529,932577,1014438,1473448,459010,79770.0,3.2100564257859308,0.3115216824753911,1014437.0,2.679947903595233,32.1593748431428,0.36659522426308905
2009,1,928551.0,865,69815,441046,1014438,1432992,1943854,510861,68950.0,3.80505460389421,0.2628083179086495,1432993.0,3.249076060093505,38.988912721122055,0.47768556692014935
2009,2,1029810.0,756,109910,477412,1432992,1876236,2463558,587322,109154.0,4.194561075525861,0.23840396694536925,1876236.0,3.930014327247744,47.16017192697293,0.4180173553859905
2009,3,1164418.0,825,163008,427392,1876236,2451079,3041479,590400,162183.0,5.151556571815719,0.19411608628565247,2451079.0,5.734966962413896,68.81960354896675,0.3828459772367325
2009,4,883925.0,775,148669,525153,2451079,2661957,3335778,673822,147894.0,4.950532930061648,0.20199839377848472,2661957.0,5.06891705845725,60.82700470148699,0.2649831613494663
2009,5,326013.0,866,169814,362905,2661957,2456116,2988835,532719,168948.0,5.610528252230538,0.17823627659731078,2456117.0,6.767931001226216,81.2151720147146,0.10907694804162826
2009,6,26152.0,1037,102387,425296,2456116,1955621,2483304,527683,101350.0,4.706052686935148,0.21249222306563229,1955622.0,4.598258624581468,55.17910349497761,0.010531131105978165
2009,7,0.0,797,100145,358337,1955621,1497936,1956418,458482,99348.0,4.267164250723038,0.23434767007868462,1497936.0,4.18024373704083,50.162924844489964,0.0
2009,8,0.0,722,57068,379402,1497936,1062188,1498658,436470,56346.0,3.4335876463445367,0.29124056322389763,1062188.0,2.799637323999346,33.59564788799216,0.0
2009,9,0.0,26276,63844,436725,1062188,587895,1088464,500569,37568.0,2.174453471948922,0.4598856737567802,587895.0,1.3461445990039498,16.1537351880474,0.0
2009,10,0.0,134833,45392,383269,587895,294067,722728,428661,-89441.0,1.6860129566253985,0.593115252211067,294067.0,0.7672600706031534,9.20712084723784,0.0
