stage,model,feature,importance
monthly,Random Forest,produccion,0.047572951624564
monthly,Random Forest,importaciones,0.0918403201121796
monthly,Random Forest,exportaciones_totales,0.06263275394471464
monthly,Random Forest,consumo_nacional_aparente,0.08987229043481328
monthly,Random Forest,inventario_final,0.0130542296404461
monthly,Random Forest,oferta_total,0.017039631321362558
monthly,Random Forest,demanda_total,0.029144043804227165
monthly,Random Forest,supply_demand_ratio,0.014348229432570837
monthly,Random Forest,demand_pressure,0.03265609466765658
monthly,Random Forest,excess_supply,0.012185418467661928
monthly,Random Forest,inventory_to_consumption,0.0404774271533046
monthly,Random Forest,inventory_months,0.03275654728707412
monthly,Random Forest,net_exports,0.049838027036716345
monthly,Random Forest,production_share,0.07174157663155431
monthly,Random Forest,month_sin,0.006333577108061693
monthly,Random Forest,month_cos,0.039696982900104524
monthly,Random Forest,usd_mxn,0.03342470513781966
monthly,Random Forest,ice_no11,0.03824648192593245
monthly,Random Forest,ice_no16,0.05868997873916247
monthly,Random Forest,wti,0.08510002117373251
monthly,Random Forest,brl_usd,0.05281973018715573
monthly,Random Forest,mx_sugar_usd,0.04754534218192257
monthly,Random Forest,premium_vs_world,0.03298363908726237
monthly,Gradient Boosting,produccion,0.05290333887953773
monthly,Gradient Boosting,importaciones,0.117822700880026
monthly,Gradient Boosting,exportaciones_totales,0.027015823545792246
monthly,Gradient Boosting,consumo_nacional_aparente,0.05669422001630898
monthly,Gradient Boosting,inventario_final,0.01180969077077819
monthly,Gradient Boosting,oferta_total,0.017574713188096853
monthly,Gradient Boosting,demanda_total,0.027205021170377607
monthly,Gradient Boosting,supply_demand_ratio,0.02624027190665456
monthly,Gradient Boosting,demand_pressure,0.0661583479374285
monthly,Gradient Boosting,excess_supply,0.013981897285979499
monthly,Gradient Boosting,inventory_to_consumption,0.036569548224042805
monthly,Gradient Boosting,inventory_months,0.032768114708571085
monthly,Gradient Boosting,net_exports,0.04427716216206286
monthly,Gradient Boosting,production_share,0.03356046332606865
monthly,Gradient Boosting,month_sin,0.0056517245835946165
monthly,Gradient Boosting,month_cos,0.019864842011849633
monthly,Gradient Boosting,usd_mxn,0.04635414568043558
monthly,Gradient Boosting,ice_no11,0.04005315187368541
monthly,Gradient Boosting,ice_no16,0.06550234797458518
monthly,Gradient Boosting,wti,0.07046012916429444
monthly,Gradient Boosting,brl_usd,0.06073263111504843
monthly,Gradient Boosting,mx_sugar_usd,0.07662644694522747
monthly,Gradient Boosting,premium_vs_world,0.05017326664955359
daily,Random Forest,month_sin,0.0005508396850783547
daily,Random Forest,month_cos,0.0012576697765781305
daily,Random Forest,lag_ret_1,0.03662605523003204
daily,Random Forest,lag_ret_2,0.014817158015460696
daily,Random Forest,lag_ret_5,0.007504553110207585
daily,Random Forest,lag_ret_10,0.005278201276505123
daily,Random Forest,ma_ratio_5,0.30009225375613613
daily,Random Forest,ma_ratio_20,0.04164688814397319
daily,Random Forest,std_norm_5,0.01836885933516179
daily,Random Forest,ema_ratio_10,0.079189343674057
daily,Random Forest,return_5d,0.45202319703814825
daily,Random Forest,volatility_20,0.00793201740827611
daily,Random Forest,supply_demand_ratio,0.0018501816447710137
daily,Random Forest,demand_pressure,0.002060172755611554
daily,Random Forest,excess_supply,0.0014148552937182288
daily,Random Forest,inventory_to_consumption,0.001540911666410728
daily,Random Forest,production_share,0.0013690752522576232
daily,Random Forest,produccion,0.0014894786459509661
daily,Random Forest,importaciones,0.008493687727946697
daily,Random Forest,exportaciones_totales,0.0025817361280783425
daily,Random Forest,consumo_nacional_aparente,0.004397412344839677
daily,Random Forest,inventario_final,0.0009394997174587718
daily,Random Forest,oferta_total,0.0013597556547886261
daily,Random Forest,demanda_total,0.0029347990732611893
daily,Random Forest,net_exports,0.002637467762561248
daily,Random Forest,inventory_months,0.0016439298827310876
daily,Gradient Boosting,month_sin,0.0006621776684188637
daily,Gradient Boosting,month_cos,0.00279108289542159
daily,Gradient Boosting,lag_ret_1,0.048335202065642215
daily,Gradient Boosting,lag_ret_2,0.026264425903467423
daily,Gradient Boosting,lag_ret_5,0.015501688528467053
daily,Gradient Boosting,lag_ret_10,0.008965991584128424
daily,Gradient Boosting,ma_ratio_5,0.2490135403682666
daily,Gradient Boosting,ma_ratio_20,0.04840889874477384
daily,Gradient Boosting,std_norm_5,0.023124421507516955
daily,Gradient Boosting,ema_ratio_10,0.0820611103159923
daily,Gradient Boosting,return_5d,0.4302729178785645
daily,Gradient Boosting,volatility_20,0.0174463780577038
daily,Gradient Boosting,supply_demand_ratio,0.002031065332085385
daily,Gradient Boosting,demand_pressure,0.003359509997753869
daily,Gradient Boosting,excess_supply,0.0014473381160957314
daily,Gradient Boosting,inventory_to_consumption,0.001544017318470972
daily,Gradient Boosting,production_share,0.001215898460979199
daily,Gradient Boosting,produccion,0.001050543778678502
daily,Gradient Boosting,importaciones,0.012720860639629709
daily,Gradient Boosting,exportaciones_totales,0.002277792097089801
daily,Gradient Boosting,consumo_nacional_aparente,0.007814212796688778
daily,Gradient Boosting,inventario_final,0.0023055269440499957
daily,Gradient Boosting,oferta_total,0.002597136256695965
daily,Gradient Boosting,demanda_total,0.0019474249350076834
daily,Gradient Boosting,net_exports,0.00405909258900312
daily,Gradient Boosting,inventory_months,0.002781745219407711
