stage,model,feature,importance
monthly,Random Forest,produccion,0.030469303578195443
monthly,Random Forest,importaciones,0.03579459711079522
monthly,Random Forest,exportaciones_totales,0.013461295674653598
monthly,Random Forest,consumo_nacional_aparente,0.10808806169461876
monthly,Random Forest,inventario_final,0.003741617675620154
monthly,Random Forest,oferta_total,0.006808168174214303
monthly,Random Forest,demanda_total,0.026807322113160222
monthly,Random Forest,supply_demand_ratio,0.018652905150165388
monthly,Random Forest,demand_pressure,0.017134764482657074
monthly,Random Forest,excess_supply,0.004083891909784699
monthly,Random Forest,inventory_to_consumption,0.025553124374939968
monthly,Random Forest,inventory_months,0.01925746602763819
monthly,Random Forest,net_exports,0.01647876758939665
monthly,Random Forest,production_share,0.025735620588153024
monthly,Random Forest,month_sin,0.0022363826229341993
monthly,Random Forest,month_cos,0.010505087029827926
monthly,Random Forest,usd_mxn,0.06785828467516165
monthly,Random Forest,ice_no11,0.029919835474864046
monthly,Random Forest,ice_no16,0.10893710986102761
monthly,Random Forest,wti,0.2657194923207622
monthly,Random Forest,brl_usd,0.07998140585158503
monthly,Random Forest,mx_sugar_usd,0.051292183146540334
monthly,Random Forest,premium_vs_world,0.03148331287330419
monthly,Gradient Boosting,produccion,0.033536265897882216
monthly,Gradient Boosting,importaciones,0.07248599824368569
monthly,Gradient Boosting,exportaciones_totales,0.014929776906038195
monthly,Gradient Boosting,consumo_nacional_aparente,0.08485915804962069
monthly,Gradient Boosting,inventario_final,0.0059494173157608595
monthly,Gradient Boosting,oferta_total,0.014879518097789665
monthly,Gradient Boosting,demanda_total,0.025318297384432777
monthly,Gradient Boosting,supply_demand_ratio,0.02824029712119544
monthly,Gradient Boosting,demand_pressure,0.04434522987907859
monthly,Gradient Boosting,excess_supply,0.007931250210509722
monthly,Gradient Boosting,inventory_to_consumption,0.031550002834449135
monthly,Gradient Boosting,inventory_months,0.037923478599065315
monthly,Gradient Boosting,net_exports,0.025396471195073315
monthly,Gradient Boosting,production_share,0.02394315659844925
monthly,Gradient Boosting,month_sin,0.007114500360968012
monthly,Gradient Boosting,month_cos,0.01846904675569667
monthly,Gradient Boosting,usd_mxn,0.056491965539430644
monthly,Gradient Boosting,ice_no11,0.03935685627490445
monthly,Gradient Boosting,ice_no16,0.11195778889684264
monthly,Gradient Boosting,wti,0.13944701247263816
monthly,Gradient Boosting,brl_usd,0.08832904478246152
monthly,Gradient Boosting,mx_sugar_usd,0.06078806681597245
monthly,Gradient Boosting,premium_vs_world,0.02675739976805449
daily,Random Forest,month_sin,0.002742903772257912
daily,Random Forest,month_cos,0.0055797769723377015
daily,Random Forest,lag_ret_1,0.06383200154588468
daily,Random Forest,lag_ret_2,0.026735766598976675
daily,Random Forest,lag_ret_5,0.023885437989837464
daily,Random Forest,lag_ret_10,0.021640391139129904
daily,Random Forest,ma_ratio_5,0.07937621953770783
daily,Random Forest,ma_ratio_20,0.2168126841726817
daily,Random Forest,std_norm_5,0.06213775511368998
daily,Random Forest,ema_ratio_10,0.1105889088494008
daily,Random Forest,return_5d,0.18781661038786568
daily,Random Forest,volatility_20,0.07268336076285095
daily,Random Forest,supply_demand_ratio,0.015748549328948137
daily,Random Forest,demand_pressure,0.013033260911337764
daily,Random Forest,excess_supply,0.0042265575006325065
daily,Random Forest,inventory_to_consumption,0.008312076505276414
daily,Random Forest,production_share,0.007796533346255915
daily,Random Forest,produccion,0.008549120331346312
daily,Random Forest,importaciones,0.011470382905217322
daily,Random Forest,exportaciones_totales,0.00853192537989441
daily,Random Forest,consumo_nacional_aparente,0.012474730051134116
daily,Random Forest,inventario_final,0.0043477381271940065
daily,Random Forest,oferta_total,0.0042758769193193555
daily,Random Forest,demanda_total,0.007920661445557592
daily,Random Forest,net_exports,0.007217735242982323
daily,Random Forest,inventory_months,0.012263035162282655
daily,Gradient Boosting,month_sin,0.0010919762488863492
daily,Gradient Boosting,month_cos,0.007679346857550828
daily,Gradient Boosting,lag_ret_1,0.0726665637348445
daily,Gradient Boosting,lag_ret_2,0.06667226704484858
daily,Gradient Boosting,lag_ret_5,0.035555472220461785
daily,Gradient Boosting,lag_ret_10,0.04336500355261545
daily,Gradient Boosting,ma_ratio_5,0.12862183977487163
daily,Gradient Boosting,ma_ratio_20,0.13421342200182615
daily,Gradient Boosting,std_norm_5,0.08434177516662303
daily,Gradient Boosting,ema_ratio_10,0.06524795717930239
daily,Gradient Boosting,return_5d,0.1237487649643472
daily,Gradient Boosting,volatility_20,0.11264038401228646
daily,Gradient Boosting,supply_demand_ratio,0.009085159812796485
daily,Gradient Boosting,demand_pressure,0.009595651392626157
daily,Gradient Boosting,excess_supply,0.004787972158547254
daily,Gradient Boosting,inventory_to_consumption,0.011122605392020648
daily,Gradient Boosting,production_share,0.008285901288714755
daily,Gradient Boosting,produccion,0.011310964256705315
daily,Gradient Boosting,importaciones,0.014781079023727812
daily,Gradient Boosting,exportaciones_totales,0.0036501633417349525
daily,Gradient Boosting,consumo_nacional_aparente,0.014845493702605702
daily,Gradient Boosting,inventario_final,0.004088077842852446
daily,Gradient Boosting,oferta_total,0.0037245724018680672
daily,Gradient Boosting,demanda_total,0.012039677818542848
daily,Gradient Boosting,net_exports,0.009096888021527087
daily,Gradient Boosting,inventory_months,0.007741020787266106
