section,section_slug,link_text,cycle_start,cycle_end,year,month_number,month_name_es,document_date,url,is_pdf,parent_page
ACUERDOS,acuerdos,"Precio de referencia del azúcar base estándar para el pago de la caña de azúcar, zafra 2015/2016.",2015,2016,,,,,"https://dof.gob.mx/nota_detalle.php?codigo=5413779&fecha=30/10/2015#:~:text=pdf)%3B%20as%C3%AD%20como%20de,de%20%24%208%2C130.65%20pesos%20por%20tonelada.",False,https://www.gob.mx/conadesuca/documentos/documentos-politica-comercial-ver-mas
ACUERDOS,acuerdos,"Minuta del 6 de junio de 2018 del Grupo de Aumento en la Inversión y el Empleo de la Junta Directiva del CONADESUCA, en la que se da a conocer el precio de referencia del azúcar base estándar para la liquidación final del pago de la caña de azúcar de la zafra 2017/2018, calculado por el CONADESUCA.",2017,2018,,,,,https://www.gob.mx/cms/uploads/attachment/file/336179/Minuta_6_jun_18_precio_referencia.pdf,True,https://www.gob.mx/conadesuca/documentos/documentos-politica-comercial-ver-mas
ACUERDOS,acuerdos,Acuerdo preliquidación zafra 2017/2018.,2017,2018,,,,,https://www.gob.mx/cms/uploads/attachment/file/268984/Acuerdo_precio_de_referencia_preliquidaci_n_2017-18.pdf,True,https://www.gob.mx/conadesuca/documentos/documentos-politica-comercial-ver-mas
ACUERDOS,acuerdos,"Precio de referencia del azúcar base estándar para el pago de la caña de azúcar, zafra 2017/2018.",2017,2018,,,,,https://www.gob.mx/cms/uploads/attachment/file/268980/Aviso_precio_de_referencia_2017-2018.pdf,True,https://www.gob.mx/conadesuca/documentos/documentos-politica-comercial-ver-mas
ACUERDOS,acuerdos,Acuerdo de concertación para la liquidación final para el pago de la caña de azúcar de la zafra 2017/2018,2017,2018,,,,,https://www.gob.mx/cms/uploads/attachment/file/334308/Acuerdo_Liquidacion_17-18.pdf,True,https://www.gob.mx/conadesuca/documentos/documentos-politica-comercial-ver-mas
ACUERDOS,acuerdos,"Acuerdo para la liquidación final, zafra 2018/2019",2018,2019,,,,,https://www.gob.mx/cms/uploads/attachment/file/469138/Acuerdo_precio_liquidaci_n_2018-2019.pdf,True,https://www.gob.mx/conadesuca/documentos/documentos-politica-comercial-ver-mas
ACUERDOS,acuerdos,Acuerdo para la preliquidación de la caña de la zafra 2018/2019,2018,2019,,,,,https://www.gob.mx/cms/uploads/attachment/file/402677/Minuta_Acuerdo_PrRef_2018-19_181016.pdf,True,https://www.gob.mx/conadesuca/documentos/documentos-politica-comercial-ver-mas
ACUERDOS,acuerdos,AVISO por el que se da a conocer el precio de referencia del azúcar base estándar para el pago de la caña de azúcar de la zafra 2022/2023,2022,2023,,,,,https://dof.gob.mx/nota_detalle.php?codigo=5670167&fecha=31/10/2022#gsc.tab=0,False,https://www.gob.mx/conadesuca/documentos/documentos-politica-comercial-ver-mas
ACUERDOS,acuerdos,Minuta del 16-10-12.,,,,,,,http://www.gob.mx/cms/uploads/attachment/file/115877/PRECIO_PRE-LIQUIDACION_CANA_ZAFRA_12-13.pdf,True,https://www.gob.mx/conadesuca/documentos/documentos-politica-comercial-ver-mas
ACUERDOS,acuerdos,Acuerdo Junta Directiva del 24-05-11.,,,,,,,http://www.gob.mx/cms/uploads/attachment/file/115875/Precio_de_Referencia_Liquidaciones_Finales_Aprobado_JD24mayo_Z1011_Publicacion.pdf,True,https://www.gob.mx/conadesuca/documentos/documentos-politica-comercial-ver-mas
ACUERDOS,acuerdos,Minuta Grupo IV del 09-11-10.,,,,,,,http://www.gob.mx/cms/uploads/attachment/file/115874/minuta_grupo_iv.pdf,True,https://www.gob.mx/conadesuca/documentos/documentos-politica-comercial-ver-mas
ACUERDOS,acuerdos,Minuta Junta Directiva del 26-06-08.,,,,,,,http://www.gob.mx/cms/uploads/attachment/file/115876/minuta_junio_26-10.pdf,True,https://www.gob.mx/conadesuca/documentos/documentos-politica-comercial-ver-mas
BALANCE NACIONAL DE AZÚCAR,balance_nacional_de_azúcar,Balance Nacional de Azúcar Octubre 2008,2008,2009,2008,10,octubre,2008-10-01,http://www.gob.mx/cms/uploads/attachment/file/143567/Balance_de_Azucar_0810_Oct_08__1314724549_.pdf,True,http://www.gob.mx/conadesuca/documentos/politica-comercial-balances-azucareros-zafra-2008-2009
BALANCE NACIONAL DE AZÚCAR,balance_nacional_de_azúcar,Balance Nacional de Azúcar Noviembre 2008,2008,2009,2008,11,noviembre,2008-11-01,http://www.gob.mx/cms/uploads/attachment/file/143568/Balance_de_Azucar_0811_Nov_08__1374263163_.pdf,True,http://www.gob.mx/conadesuca/documentos/politica-comercial-balances-azucareros-zafra-2008-2009
BALANCE NACIONAL DE AZÚCAR,balance_nacional_de_azúcar,Balance Nacional de Azúcar Diciembre 2008,2008,2009,2008,12,diciembre,2008-12-01,http://www.gob.mx/cms/uploads/attachment/file/143569/Balance_de_Azucar_0812_Dic_08__1314723529_.pdf,True,http://www.gob.mx/conadesuca/documentos/politica-comercial-balances-azucareros-zafra-2008-2009
BALANCE NACIONAL DE AZÚCAR,balance_nacional_de_azúcar,Balance Nacional de Azúcar Enero 2009,2008,2009,2009,1,enero,2009-01-01,http://www.gob.mx/cms/uploads/attachment/file/143558/Balance_de_Azucar_0901_Ene_09__1314724709_.pdf,True,http://www.gob.mx/conadesuca/documentos/politica-comercial-balances-azucareros-zafra-2008-2009
BALANCE NACIONAL DE AZÚCAR,balance_nacional_de_azúcar,Balance Nacional de Azúcar Febrero 2009,2008,2009,2009,2,febrero,2009-02-01,http://www.gob.mx/cms/uploads/attachment/file/143559/Balance_de_Azucar_0902_Feb_09__1374251501_.pdf,True,http://www.gob.mx/conadesuca/documentos/politica-comercial-balances-azucareros-zafra-2008-2009
BALANCE NACIONAL DE AZÚCAR,balance_nacional_de_azúcar,Balance Nacional de Azúcar Marzo 2009,2008,2009,2009,3,marzo,2009-03-01,http://www.gob.mx/cms/uploads/attachment/file/143560/Balance_de_Azucar_0903_Mar_09__1374263110_.pdf,True,http://www.gob.mx/conadesuca/documentos/politica-comercial-balances-azucareros-zafra-2008-2009
BALANCE NACIONAL DE AZÚCAR,balance_nacional_de_azúcar,Balance Nacional de Azúcar Abril 2009,2008,2009,2009,4,abril,2009-04-01,http://www.gob.mx/cms/uploads/attachment/file/143561/Balance_de_Azucar_0904_Abr_09__1314725023_.pdf,True,http://www.gob.mx/conadesuca/documentos/politica-comercial-balances-azucareros-zafra-2008-2009
BALANCE NACIONAL DE AZÚCAR,balance_nacional_de_azúcar,Balance Nacional de Azúcar Mayo 2009,2008,2009,2009,5,mayo,2009-05-01,http://www.gob.mx/cms/uploads/attachment/file/143562/Balance_de_Azucar_0905_May_09__1314725299_.pdf,True,http://www.gob.mx/conadesuca/documentos/politica-comercial-balances-azucareros-zafra-2008-2009
BALANCE NACIONAL DE AZÚCAR,balance_nacional_de_azúcar,Balance Nacional de Azúcar Junio 2009,2008,2009,2009,6,junio,2009-06-01,http://www.gob.mx/cms/uploads/attachment/file/143563/Balance_de_Azucar_0906_Jun_09__1314725593_.pdf,True,http://www.gob.mx/conadesuca/documentos/politica-comercial-balances-azucareros-zafra-2008-2009
BALANCE NACIONAL DE AZÚCAR,balance_nacional_de_azúcar,Balance Nacional de Azúcar Julio 2009,2008,2009,2009,7,julio,2009-07-01,http://www.gob.mx/cms/uploads/attachment/file/143564/Balance_de_Azucar_0907_Jul_09__1314725678_.pdf,True,http://www.gob.mx/conadesuca/documentos/politica-comercial-balances-azucareros-zafra-2008-2009
BALANCE NACIONAL DE AZÚCAR,balance_nacional_de_azúcar,Balance Nacional de Azúcar Agosto 2009,2008,2009,2009,8,agosto,2009-08-01,http://www.gob.mx/cms/uploads/attachment/file/143565/Balance_de_Azucar_0908_Ago_09__1314725772_.pdf,True,http://www.gob.mx/conadesuca/documentos/politica-comercial-balances-azucareros-zafra-2008-2009
