date,price,product_type,year,month
2000-10-02,234.81,estandar,2000,10
2000-10-03,234.41,estandar,2000,10
2000-10-04,233.49,estandar,2000,10
2000-10-05,233.8,estandar,2000,10
2000-10-06,233.27,estandar,2000,10
2000-10-09,233.3,estandar,2000,10
2000-10-10,232.81,estandar,2000,10
2000-10-11,231.98,estandar,2000,10
2000-10-12,232.76,estandar,2000,10
2000-10-13,232.06,estandar,2000,10
2000-10-16,231.65,estandar,2000,10
2000-10-17,231.34,estandar,2000,10
2000-10-18,231.04,estandar,2000,10
2000-10-19,231.83,estandar,2000,10
2000-10-20,232.6,estandar,2000,10
2000-10-23,232.34,estandar,2000,10
2000-10-24,227.23,estandar,2000,10
2000-10-25,233.57,estandar,2000,10
2000-10-26,233.73,estandar,2000,10
2000-10-27,234.7,estandar,2000,10
2000-10-30,237.19,estandar,2000,10
2000-10-31,237.79,estandar,2000,10
2000-11-01,237.9,estandar,2000,11
2000-11-03,238.7,estandar,2000,11
2000-11-06,239.11,estandar,2000,11
2000-11-07,239.0,estandar,2000,11
2000-11-08,239.06,estandar,2000,11
2000-11-09,238.29,estandar,2000,11
2000-11-10,239.44,estandar,2000,11
2000-11-13,239.71,estandar,2000,11
2000-11-14,240.05,estandar,2000,11
2000-11-15,239.92,estandar,2000,11
2000-11-16,240.36,estandar,2000,11
2000-11-17,245.8,estandar,2000,11
2000-11-21,251.1,estandar,2000,11
2000-11-22,252.74,estandar,2000,11
2000-11-23,254.53,estandar,2000,11
2000-11-24,255.62,estandar,2000,11
2000-11-27,257.89,estandar,2000,11
2000-11-28,259.12,estandar,2000,11
2000-11-29,260.38,estandar,2000,11
2000-11-30,261.53,estandar,2000,11
2000-12-04,265.17,estandar,2000,12
2000-12-05,265.61,estandar,2000,12
2000-12-06,264.58,estandar,2000,12
2000-12-07,266.34,estandar,2000,12
2000-12-08,268.13,estandar,2000,12
2000-12-11,267.61,estandar,2000,12
2000-12-12,268.88,estandar,2000,12
2000-12-13,269.11,estandar,2000,12
2000-12-14,270.49,estandar,2000,12
2000-12-15,269.46,estandar,2000,12
2000-12-18,269.16,estandar,2000,12
2000-12-19,269.56,estandar,2000,12
2000-12-20,269.07,estandar,2000,12
2000-12-21,268.88,estandar,2000,12
2000-12-22,267.58,estandar,2000,12
2000-12-26,267.98,estandar,2000,12
2000-12-27,267.55,estandar,2000,12
2000-12-28,268.33,estandar,2000,12
2000-12-29,268.35,estandar,2000,12
2001-01-02,268.45,estandar,2001,1
2001-01-03,267.62,estandar,2001,1
2001-01-04,268.31,estandar,2001,1
2001-01-05,269.15,estandar,2001,1
2001-01-08,267.37,estandar,2001,1
2001-01-09,268.4,estandar,2001,1
2001-01-10,266.25,estandar,2001,1
2001-01-11,266.16,estandar,2001,1
2001-01-12,265.91,estandar,2001,1
2001-01-15,264.32,estandar,2001,1
2001-01-16,263.4,estandar,2001,1
2001-01-17,262.16,estandar,2001,1
2001-01-18,261.63,estandar,2001,1
2001-01-19,261.57,estandar,2001,1
2001-01-22,260.53,estandar,2001,1
2001-01-23,258.44,estandar,2001,1
2001-01-24,257.28,estandar,2001,1
2001-01-25,258.34,estandar,2001,1
2001-01-26,257.35,estandar,2001,1
2001-01-29,258.29,estandar,2001,1
2001-01-30,256.1,estandar,2001,1
2001-01-31,256.48,estandar,2001,1
2001-02-01,254.31,estandar,2001,2
2001-02-02,254.66,estandar,2001,2
2001-02-06,253.11,estandar,2001,2
2001-02-07,252.99,estandar,2001,2
2001-02-08,252.51,estandar,2001,2
2001-02-09,252.29,estandar,2001,2
2001-02-12,249.45,estandar,2001,2
2001-02-13,250.14,estandar,2001,2
2001-02-14,247.68,estandar,2001,2
2001-02-15,248.09,estandar,2001,2
2001-02-16,247.18,estandar,2001,2
2001-02-19,245.79,estandar,2001,2
2001-02-20,243.28,estandar,2001,2
2001-02-21,241.11,estandar,2001,2
2001-02-22,242.43,estandar,2001,2
2001-02-23,239.97,estandar,2001,2
2001-02-26,238.78,estandar,2001,2
2001-02-27,239.78,estandar,2001,2
2001-02-28,237.3,estandar,2001,2
2001-03-01,236.52,estandar,2001,3
2001-03-02,234.37,estandar,2001,3
2001-03-05,231.74,estandar,2001,3
2001-03-06,231.3,estandar,2001,3
2001-03-07,228.99,estandar,2001,3
2001-03-08,226.46,estandar,2001,3
2001-03-09,227.21,estandar,2001,3
2001-03-12,225.18,estandar,2001,3
2001-03-13,223.59,estandar,2001,3
2001-03-14,221.97,estandar,2001,3
2001-03-15,220.82,estandar,2001,3
2001-03-16,219.76,estandar,2001,3
2001-03-19,218.68,estandar,2001,3
2001-03-20,217.41,estandar,2001,3
2001-03-22,217.2,estandar,2001,3
2001-03-23,215.34,estandar,2001,3
2001-03-26,214.88,estandar,2001,3
2001-03-27,212.23,estandar,2001,3
2001-03-28,210.96,estandar,2001,3
2001-03-29,210.71,estandar,2001,3
2001-03-30,209.54,estandar,2001,3
2001-04-02,208.53,estandar,2001,4
2001-04-03,209.12,estandar,2001,4
2001-04-04,206.02,estandar,2001,4
2001-04-05,206.87,estandar,2001,4
2001-04-06,206.91,estandar,2001,4
2001-04-09,205.01,estandar,2001,4
2001-04-10,204.85,estandar,2001,4
2001-04-11,203.02,estandar,2001,4
2001-04-16,201.19,estandar,2001,4
2001-04-17,202.49,estandar,2001,4
2001-04-18,202.14,estandar,2001,4
2001-04-19,202.24,estandar,2001,4
2001-04-20,201.85,estandar,2001,4
2001-04-23,202.58,estandar,2001,4
2001-04-24,202.23,estandar,2001,4
2001-04-25,202.04,estandar,2001,4
2001-04-26,202.81,estandar,2001,4
2001-04-27,201.67,estandar,2001,4
2001-04-30,201.5,estandar,2001,4
2001-05-02,201.76,estandar,2001,5
2001-05-03,200.9,estandar,2001,5
2001-05-04,201.0,estandar,2001,5
2001-05-07,200.95,estandar,2001,5
2001-05-08,200.66,estandar,2001,5
2001-05-09,200.57,estandar,2001,5
2001-05-10,201.59,estandar,2001,5
2001-05-11,200.09,estandar,2001,5
2001-05-14,199.68,estandar,2001,5
2001-05-15,199.64,estandar,2001,5
2001-05-16,199.31,estandar,2001,5
2001-05-17,199.3,estandar,2001,5
2001-05-18,199.64,estandar,2001,5
2001-05-21,199.12,estandar,2001,5
2001-05-22,199.09,estandar,2001,5
2001-05-23,198.43,estandar,2001,5
2001-05-24,199.07,estandar,2001,5
2001-05-25,199.45,estandar,2001,5
2001-05-28,201.2,estandar,2001,5
2001-05-29,200.72,estandar,2001,5
2001-05-30,200.62,estandar,2001,5
2001-05-31,201.72,estandar,2001,5
2001-06-01,203.23,estandar,2001,6
2001-06-04,207.1,estandar,2001,6
2001-06-05,208.67,estandar,2001,6
2001-06-06,208.7,estandar,2001,6
2001-06-07,209.82,estandar,2001,6
2001-06-08,211.15,estandar,2001,6
2001-06-11,213.94,estandar,2001,6
2001-06-12,216.67,estandar,2001,6
2001-06-13,218.29,estandar,2001,6
2001-06-14,218.48,estandar,2001,6
2001-06-15,219.57,estandar,2001,6
2001-06-18,220.81,estandar,2001,6
2001-06-19,222.49,estandar,2001,6
2001-06-20,224.08,estandar,2001,6
2001-06-21,224.69,estandar,2001,6
2001-06-22,224.88,estandar,2001,6
2001-06-25,228.42,estandar,2001,6
2001-06-26,228.66,estandar,2001,6
2001-06-27,228.51,estandar,2001,6
2001-06-28,229.69,estandar,2001,6
2001-06-29,229.66,estandar,2001,6
2001-07-02,230.23,estandar,2001,7
2001-07-03,230.12,estandar,2001,7
2001-07-04,229.38,estandar,2001,7
2001-07-05,229.37,estandar,2001,7
2001-07-06,229.85,estandar,2001,7
2001-07-09,228.98,estandar,2001,7
2001-07-10,229.08,estandar,2001,7
2001-07-11,229.49,estandar,2001,7
2001-07-12,230.22,estandar,2001,7
2001-07-13,230.43,estandar,2001,7
2001-07-16,231.4,estandar,2001,7
2001-07-17,230.66,estandar,2001,7
2001-07-18,231.32,estandar,2001,7
2001-07-19,230.89,estandar,2001,7
2001-07-20,231.21,estandar,2001,7
2001-07-23,230.12,estandar,2001,7
2001-07-24,229.78,estandar,2001,7
2001-07-25,230.56,estandar,2001,7
2001-07-26,230.58,estandar,2001,7
2001-07-27,229.87,estandar,2001,7
2001-07-30,229.51,estandar,2001,7
2001-07-31,229.11,estandar,2001,7
2001-08-01,229.53,estandar,2001,8
2001-08-02,229.72,estandar,2001,8
2001-08-03,229.57,estandar,2001,8
2001-08-06,229.59,estandar,2001,8
2001-08-07,229.29,estandar,2001,8
2001-08-08,230.3,estandar,2001,8
2001-08-09,229.79,estandar,2001,8
2001-08-10,229.56,estandar,2001,8
2001-08-13,229.52,estandar,2001,8
2001-08-14,229.18,estandar,2001,8
2001-08-15,229.09,estandar,2001,8
2001-08-16,229.63,estandar,2001,8
2001-08-17,229.75,estandar,2001,8
2001-08-20,228.29,estandar,2001,8
2001-08-21,228.79,estandar,2001,8
2001-08-22,228.6,estandar,2001,8
2001-08-23,228.99,estandar,2001,8
2001-08-24,228.99,estandar,2001,8
2001-08-27,228.18,estandar,2001,8
2001-08-28,228.52,estandar,2001,8
2001-08-29,227.75,estandar,2001,8
2001-08-30,226.23,estandar,2001,8
2001-08-31,226.89,estandar,2001,8
2001-09-03,227.43,estandar,2001,9
2001-09-04,228.3,estandar,2001,9
2001-09-05,233.62,estandar,2001,9
2001-09-06,243.52,estandar,2001,9
2001-09-07,247.16,estandar,2001,9
2001-09-10,251.85,estandar,2001,9
2001-09-11,255.86,estandar,2001,9
2001-09-12,255.19,estandar,2001,9
2001-09-13,256.62,estandar,2001,9
2001-09-14,257.99,estandar,2001,9
2001-09-17,258.33,estandar,2001,9
2001-09-18,259.58,estandar,2001,9
2001-09-19,258.8,estandar,2001,9
2001-09-20,259.83,estandar,2001,9
2001-09-21,259.31,estandar,2001,9
2001-09-24,258.44,estandar,2001,9
2001-09-25,258.85,estandar,2001,9
2001-09-26,259.36,estandar,2001,9
2001-09-27,259.75,estandar,2001,9
2001-09-28,259.25,estandar,2001,9
2001-10-01,259.19,estandar,2001,10
2001-10-02,259.45,estandar,2001,10
2001-10-03,259.26,estandar,2001,10
2001-10-04,258.61,estandar,2001,10
2001-10-05,259.04,estandar,2001,10
2001-10-08,258.57,estandar,2001,10
2001-10-09,257.67,estandar,2001,10
2001-10-10,258.06,estandar,2001,10
2001-10-11,257.57,estandar,2001,10
2001-10-12,258.9,estandar,2001,10
2001-10-15,256.76,estandar,2001,10
2001-10-16,255.74,estandar,2001,10
2001-10-17,256.5,estandar,2001,10
2001-10-18,255.08,estandar,2001,10
2001-10-19,255.61,estandar,2001,10
2001-10-22,254.97,estandar,2001,10
2001-10-23,256.24,estandar,2001,10
2001-10-24,255.96,estandar,2001,10
2001-10-25,254.96,estandar,2001,10
2001-10-26,253.93,estandar,2001,10
2001-10-29,253.09,estandar,2001,10
2001-10-30,254.03,estandar,2001,10
2001-10-31,253.72,estandar,2001,10
2001-11-01,253.28,estandar,2001,11
2001-11-05,250.69,estandar,2001,11
2001-11-06,251.32,estandar,2001,11
2001-11-07,252.0,estandar,2001,11
2001-11-08,251.83,estandar,2001,11
2001-11-09,251.66,estandar,2001,11
2001-11-12,251.37,estandar,2001,11
2001-11-13,250.63,estandar,2001,11
2001-11-14,250.08,estandar,2001,11
2001-11-15,248.21,estandar,2001,11
2001-11-16,249.67,estandar,2001,11
2001-11-19,248.75,estandar,2001,11
2001-11-21,248.99,estandar,2001,11
2001-11-22,248.53,estandar,2001,11
2001-11-23,248.92,estandar,2001,11
2001-11-26,247.38,estandar,2001,11
2001-11-27,247.51,estandar,2001,11
2001-11-28,248.43,estandar,2001,11
2001-11-29,246.91,estandar,2001,11
2001-11-30,247.24,estandar,2001,11
2001-12-03,246.93,estandar,2001,12
2001-12-04,246.43,estandar,2001,12
2001-12-05,246.55,estandar,2001,12
2001-12-06,245.27,estandar,2001,12
2001-12-07,244.74,estandar,2001,12
2001-12-10,244.46,estandar,2001,12
2001-12-11,244.51,estandar,2001,12
2001-12-12,243.78,estandar,2001,12
2001-12-13,244.12,estandar,2001,12
2001-12-14,236.69,estandar,2001,12
2001-12-17,243.3,estandar,2001,12
2001-12-18,242.76,estandar,2001,12
2001-12-19,243.45,estandar,2001,12
2001-12-20,242.73,estandar,2001,12
2001-12-21,242.71,estandar,2001,12
2001-12-24,241.1,estandar,2001,12
2001-12-26,241.06,estandar,2001,12
2001-12-27,241.47,estandar,2001,12
2001-12-28,240.7,estandar,2001,12
2001-12-31,241.52,estandar,2001,12
2002-01-02,241.52,estandar,2002,1
2002-01-03,241.93,estandar,2002,1
2002-01-04,240.75,estandar,2002,1
2002-01-07,245.06,estandar,2002,1
2002-01-08,245.21,estandar,2002,1
2002-01-09,245.47,estandar,2002,1
2002-01-10,247.95,estandar,2002,1
2002-01-11,249.28,estandar,2002,1
2002-01-14,247.77,estandar,2002,1
2002-01-15,247.48,estandar,2002,1
2002-01-16,249.0,estandar,2002,1
2002-01-17,247.49,estandar,2002,1
2002-01-18,249.4,estandar,2002,1
2002-01-21,249.02,estandar,2002,1
2002-01-22,249.56,estandar,2002,1
2002-01-23,248.8,estandar,2002,1
2002-01-24,248.51,estandar,2002,1
2002-01-25,248.85,estandar,2002,1
2002-01-28,247.69,estandar,2002,1
2002-01-29,247.97,estandar,2002,1
2002-01-30,247.81,estandar,2002,1
2002-01-31,247.84,estandar,2002,1
2002-02-01,248.35,estandar,2002,2
2002-02-04,247.55,estandar,2002,2
2002-02-06,247.38,estandar,2002,2
2002-02-07,245.22,estandar,2002,2
2002-02-08,245.8,estandar,2002,2
2002-02-11,246.13,estandar,2002,2
2002-02-12,244.56,estandar,2002,2
2002-02-13,246.3,estandar,2002,2
2002-02-14,246.01,estandar,2002,2
2002-02-15,244.78,estandar,2002,2
2002-02-18,245.4,estandar,2002,2
2002-02-19,244.93,estandar,2002,2
2002-02-20,245.91,estandar,2002,2
2002-02-21,245.25,estandar,2002,2
2002-02-22,246.0,estandar,2002,2
2002-02-25,235.97,estandar,2002,2
2002-02-26,245.89,estandar,2002,2
2002-02-27,245.46,estandar,2002,2
2002-02-28,243.17,estandar,2002,2
2002-03-01,245.9,estandar,2002,3
2002-03-04,244.94,estandar,2002,3
2002-03-05,244.32,estandar,2002,3
2002-03-06,245.27,estandar,2002,3
2002-03-07,245.09,estandar,2002,3
2002-03-08,245.03,estandar,2002,3
2002-03-11,244.81,estandar,2002,3
2002-03-12,245.07,estandar,2002,3
2002-03-13,244.89,estandar,2002,3
2002-03-14,244.74,estandar,2002,3
2002-03-15,244.63,estandar,2002,3
2002-03-18,245.58,estandar,2002,3
2002-03-19,245.5,estandar,2002,3
2002-03-20,245.95,estandar,2002,3
2002-03-22,245.13,estandar,2002,3
2002-03-25,243.48,estandar,2002,3
2002-03-26,243.6,estandar,2002,3
2002-03-27,244.2,estandar,2002,3
2002-04-01,244.96,estandar,2002,4
2002-04-02,245.11,estandar,2002,4
2002-04-03,245.19,estandar,2002,4
2002-04-04,245.16,estandar,2002,4
2002-04-05,245.5,estandar,2002,4
2002-04-08,243.44,estandar,2002,4
2002-04-09,244.24,estandar,2002,4
2002-04-10,244.25,estandar,2002,4
2002-04-11,244.87,estandar,2002,4
2002-04-12,244.71,estandar,2002,4
2002-04-15,244.27,estandar,2002,4
2002-04-16,244.61,estandar,2002,4
2002-04-17,244.56,estandar,2002,4
2002-04-18,243.18,estandar,2002,4
2002-04-19,243.84,estandar,2002,4
2002-04-22,243.4,estandar,2002,4
2002-04-23,243.02,estandar,2002,4
2002-04-24,244.05,estandar,2002,4
2002-04-25,243.39,estandar,2002,4
2002-04-26,243.21,estandar,2002,4
2002-04-29,241.48,estandar,2002,4
2002-04-30,242.0,estandar,2002,4
2002-05-02,241.06,estandar,2002,5
2002-05-03,242.36,estandar,2002,5
2002-05-06,241.56,estandar,2002,5
2002-05-07,241.31,estandar,2002,5
2002-05-08,242.12,estandar,2002,5
2002-05-09,240.55,estandar,2002,5
2002-05-10,240.75,estandar,2002,5
2002-05-13,242.31,estandar,2002,5
2002-05-14,241.94,estandar,2002,5
2002-05-15,242.39,estandar,2002,5
2002-05-16,241.66,estandar,2002,5
2002-05-17,241.77,estandar,2002,5
2002-05-20,242.47,estandar,2002,5
2002-05-21,242.24,estandar,2002,5
2002-05-22,242.51,estandar,2002,5
2002-05-23,242.93,estandar,2002,5
2002-05-24,241.24,estandar,2002,5
2002-05-27,242.54,estandar,2002,5
2002-05-28,242.8,estandar,2002,5
2002-05-29,242.95,estandar,2002,5
2002-05-30,242.38,estandar,2002,5
2002-05-31,242.85,estandar,2002,5
2002-06-03,242.85,estandar,2002,6
2002-06-04,241.71,estandar,2002,6
2002-06-05,237.73,estandar,2002,6
2002-06-06,242.34,estandar,2002,6
2002-06-07,242.24,estandar,2002,6
2002-06-10,241.32,estandar,2002,6
2002-06-11,241.33,estandar,2002,6
2002-06-12,241.43,estandar,2002,6
2002-06-13,239.96,estandar,2002,6
2002-06-14,241.06,estandar,2002,6
2002-06-17,240.0,estandar,2002,6
2002-06-18,240.24,estandar,2002,6
2002-06-19,239.83,estandar,2002,6
2002-06-20,240.98,estandar,2002,6
